,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist,TrackName,t_id,popularity,Target
0,0.027,https://api.spotify.com/v1/audio-analysis/23Tob4YPc2FHw6eQqL5pZx,0.537,205254,0.743,23Tob4YPc2FHw6eQqL5pZx,0.00224,8,0.0923,-7.347,0,0.0794,84.655,4,https://api.spotify.com/v1/tracks/23Tob4YPc2FHw6eQqL5pZx,audio_features,spotify:track:23Tob4YPc2FHw6eQqL5pZx,0.589,Eyal Talmudi,Saved My Eyes from Tears,23Tob4YPc2FHw6eQqL5pZx,10,0
1,0.154,https://api.spotify.com/v1/audio-analysis/686Hq5wjjYUYNKgQSqrum2,0.583,218400,0.913,686Hq5wjjYUYNKgQSqrum2,0.00072,8,0.144,-4.942,1,0.0502,112.793,4,https://api.spotify.com/v1/tracks/686Hq5wjjYUYNKgQSqrum2,audio_features,spotify:track:686Hq5wjjYUYNKgQSqrum2,0.68,Marsh Dondurma,המקלחת של סוף היום,686Hq5wjjYUYNKgQSqrum2,11,0
2,0.617,https://api.spotify.com/v1/audio-analysis/3MR3dUN87yHZjj4xt8mbaY,0.382,265573,0.236,3MR3dUN87yHZjj4xt8mbaY,0.057,9,0.111,-11.502,1,0.0343,113.235,4,https://api.spotify.com/v1/tracks/3MR3dUN87yHZjj4xt8mbaY,audio_features,spotify:track:3MR3dUN87yHZjj4xt8mbaY,0.0406,Anna Calvi,Papi Pacify - Strange Weather EP,3MR3dUN87yHZjj4xt8mbaY,22,0
3,0.913,https://api.spotify.com/v1/audio-analysis/4NE88iZPBgDji5VUqoQbc4,0.616,185760,0.282,4NE88iZPBgDji5VUqoQbc4,0.0198,7,0.112,-11.699,1,0.0289,115.963,4,https://api.spotify.com/v1/tracks/4NE88iZPBgDji5VUqoQbc4,audio_features,spotify:track:4NE88iZPBgDji5VUqoQbc4,0.146,Beck,Turn Away,4NE88iZPBgDji5VUqoQbc4,2,0
4,0.574,https://api.spotify.com/v1/audio-analysis/0jm7k3F3OqF2ele4r8UN3l,0.628,425680,0.338,0jm7k3F3OqF2ele4r8UN3l,0.00585,4,0.355,-11.63,1,0.039,130.364,4,https://api.spotify.com/v1/tracks/0jm7k3F3OqF2ele4r8UN3l,audio_features,spotify:track:0jm7k3F3OqF2ele4r8UN3l,0.182,Damon Albarn,You & Me,0jm7k3F3OqF2ele4r8UN3l,38,0
5,0.133,https://api.spotify.com/v1/audio-analysis/5Dn2aFKiEpjoe9mMOP4Kcb,0.259,443813,0.648,5Dn2aFKiEpjoe9mMOP4Kcb,0.00738,7,0.273,-10.346,1,0.0889,159.895,4,https://api.spotify.com/v1/tracks/5Dn2aFKiEpjoe9mMOP4Kcb,audio_features,spotify:track:5Dn2aFKiEpjoe9mMOP4Kcb,0.163,David Bowie,Sue (Or In A Season Of Crime),5Dn2aFKiEpjoe9mMOP4Kcb,16,0
6,0.136,https://api.spotify.com/v1/audio-analysis/41X9To0bQ4fpoSRri4NHiI,0.498,226440,0.721,41X9To0bQ4fpoSRri4NHiI,0.7,10,0.0933,-5.232,1,0.0282,140.027,4,https://api.spotify.com/v1/tracks/41X9To0bQ4fpoSRri4NHiI,audio_features,spotify:track:41X9To0bQ4fpoSRri4NHiI,0.589,Future Islands,Seasons (Waiting On You),41X9To0bQ4fpoSRri4NHiI,62,0
7,0.634,https://api.spotify.com/v1/audio-analysis/0IqKeD8ZSP72KbGYyzEcAs,0.566,241688,0.664,0IqKeD8ZSP72KbGYyzEcAs,0.0,4,0.116,-5.303,0,0.0464,128.945,4,https://api.spotify.com/v1/tracks/0IqKeD8ZSP72KbGYyzEcAs,audio_features,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,0.437,Hozier,Take Me To Church,0IqKeD8ZSP72KbGYyzEcAs,23,0
8,0.0962,https://api.spotify.com/v1/audio-analysis/3VFj5odD26z1u2eV6Vwxa6,0.654,252095,0.292,3VFj5odD26z1u2eV6Vwxa6,0.0031,2,0.106,-12.977,1,0.474,153.547,4,https://api.spotify.com/v1/tracks/3VFj5odD26z1u2eV6Vwxa6,audio_features,spotify:track:3VFj5odD26z1u2eV6Vwxa6,0.103,Ibeyi,River,3VFj5odD26z1u2eV6Vwxa6,51,0
9,0.0333,https://api.spotify.com/v1/audio-analysis/3VKdq7FYozNiuNGRFzQTGH,0.647,166333,0.845,3VKdq7FYozNiuNGRFzQTGH,0.0,6,0.0925,-4.828,1,0.289,101.594,5,https://api.spotify.com/v1/tracks/3VKdq7FYozNiuNGRFzQTGH,audio_features,spotify:track:3VKdq7FYozNiuNGRFzQTGH,0.541,Karol Conká,Boa Noite,3VKdq7FYozNiuNGRFzQTGH,13,0
10,0.122,https://api.spotify.com/v1/audio-analysis/0v2nM7w6u2Z40QFD8oiEqs,0.832,201808,0.7,0v2nM7w6u2Z40QFD8oiEqs,0.0,10,0.1,-7.035,0,0.248,93.838,4,https://api.spotify.com/v1/tracks/0v2nM7w6u2Z40QFD8oiEqs,audio_features,spotify:track:0v2nM7w6u2Z40QFD8oiEqs,0.607,Kate Tempest,The Truth,0v2nM7w6u2Z40QFD8oiEqs,24,0
11,0.0228,https://api.spotify.com/v1/audio-analysis/2ni7gpmGIFGSmctvMxKH9Y,0.753,232067,0.892,2ni7gpmGIFGSmctvMxKH9Y,5.4e-06,10,0.245,-5.313,0,0.0562,121.937,4,https://api.spotify.com/v1/tracks/2ni7gpmGIFGSmctvMxKH9Y,audio_features,spotify:track:2ni7gpmGIFGSmctvMxKH9Y,0.881,Kendrick Lamar,i - クリーン・ヴァージョン,2ni7gpmGIFGSmctvMxKH9Y,0,0
12,0.0932,https://api.spotify.com/v1/audio-analysis/2yWIxP78K1irJMI3TU6CI2,0.697,384030,0.752,2yWIxP78K1irJMI3TU6CI2,0.329,3,0.128,-10.059,0,0.0781,123.302,4,https://api.spotify.com/v1/tracks/2yWIxP78K1irJMI3TU6CI2,audio_features,spotify:track:2yWIxP78K1irJMI3TU6CI2,0.104,Leon Vynehall,Goodthing,2yWIxP78K1irJMI3TU6CI2,31,0
